log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
BirthDeath_grid_NDCN_D8.txt,0.160981,0.023968,0.210559,0.062623,0.175239,0.025203,253.875641,274682.7188
BirthDeath_grid_NDCN_D9.txt,0.172263,0.024747,0.206812,0.064554,0.166913,0.026869,93.045517,142374.7344
BirthDeath_grid_NDCN__mean,0.1661314,0.0229101,0.2130459,0.0636581,0.1647048,0.0236167,276.3541023,373738.9281
BirthDeath_grid_NDCN__std,0.032116334,0.004122474,0.022639801,0.006610775,0.023584513,0.003612418,262.6649655,389857.5268
BirthDeath_grid_NDCN__mean,0.166,0.023,0.213,0.064,0.165,0.024,276.354,373738.928
BirthDeath_grid_NDCN__std,0.032,0.004,0.023,0.007,0.024,0.004,262.665,389857.527
BirthDeath_grid_NDCN__mean_std,0.166+0.032,0.023+0.004,0.213+0.023,0.064+0.007,0.165+0.024,0.024+0.004,276.354+262.665,373738.928+389857.527
,,,,,,,,
BirthDeath_power_law_NDCN_D0.txt,1.677029,0.053669,6.570807,0.065843,1.158247,0.032364,36164575232,0.999999
BirthDeath_power_law_NDCN_D1.txt,0.762185,0.028877,3.099051,0.043854,0.713059,0.031445,2116276352,0.999994
BirthDeath_power_law_NDCN_D2.txt,0.849658,0.032577,5.996677,0.080319,0.988071,0.033422,7837514752,0.999992
BirthDeath_power_law_NDCN_D3.txt,1.113571,0.044388,7.057903,0.091765,0.994956,0.04519,5737204736,0.999989
BirthDeath_power_law_NDCN_D4.txt,0.997868,0.031399,8.232332,0.068231,0.940324,0.037368,4.94012E+11,1
BirthDeath_power_law_NDCN_D5.txt,0.926844,0.033911,5.747472,0.065681,0.868809,0.039131,32379353088,0.999996
BirthDeath_power_law_NDCN_D6.txt,1.196913,0.040528,5.539842,0.064231,0.923763,0.038708,13389498368,0.999995
BirthDeath_power_law_NDCN_D7.txt,0.866317,0.033694,5.157435,0.052505,0.853994,0.028827,58763182080,0.999999
BirthDeath_power_law_NDCN_D8.txt,0.814899,0.0332,3.855677,0.051643,0.75676,0.035351,2621455872,0.999994
BirthDeath_power_law_NDCN_D9.txt,0.712146,0.028007,5.066918,0.0534,0.919727,0.038812,34349819904,0.999999
BirthDeath_power_law_NDCN__mean,0.991743,0.036025,5.6324114,0.0637472,0.911771,0.0360618,68737065741,0.9999957
BirthDeath_power_law_NDCN__std,0.269975568,0.007537118,1.41233079,0.013652087,0.119671641,0.004514652,1.42855E+11,3.40735E-06
BirthDeath_power_law_NDCN__mean,0.992,0.036,5.632,0.064,0.912,0.036,68737065741,1
BirthDeath_power_law_NDCN__std,0.27,0.008,1.412,0.014,0.12,0.005,1.42855E+11,0
BirthDeath_power_law_NDCN__mean_std,0.992+0.27,0.036+0.008,5.632+1.412,0.064+0.014,0.912+0.12,0.036+0.005,68737065740.8+142854501488.149,1.0+0.0
,,,,,,,,
BirthDeath_random_NDCN_D0.txt,0.221813,0.02515,0.341152,0.05101,0.233232,0.026078,262.651642,1279.199097
BirthDeath_random_NDCN_D1.txt,0.31105,0.037061,0.344122,0.06748,0.290742,0.032966,428.193268,14026.72754
BirthDeath_random_NDCN_D2.txt,0.254863,0.027125,0.348334,0.049724,0.25831,0.027068,92.769531,284.069519
BirthDeath_random_NDCN_D3.txt,0.269644,0.028435,0.664933,0.094846,0.251665,0.027162,971.425415,2780.595215
BirthDeath_random_NDCN_D4.txt,0.260837,0.02821,0.385944,0.054845,0.249012,0.028064,422.362457,1347.973999
BirthDeath_random_NDCN_D5.txt,0.24108,0.026478,0.288912,0.044591,0.258611,0.026966,76.02858,619.269653
BirthDeath_random_NDCN_D6.txt,0.243694,0.026019,0.365315,0.050806,0.207569,0.023353,363.104004,862.697021
BirthDeath_random_NDCN_D7.txt,0.232153,0.027425,0.326366,0.05913,0.2756,0.03511,268.79895,4852.36377
BirthDeath_random_NDCN_D8.txt,0.290285,0.035225,0.371653,0.062575,0.333371,0.039398,135.005066,1639.230347
BirthDeath_random_NDCN_D9.txt,0.235902,0.023805,0.599836,0.075632,0.33266,0.032893,199.970551,302.162903
BirthDeath_random_NDCN__mean,0.2561321,0.0284933,0.4036567,0.0610639,0.2690772,0.0299058,322.0309464,2799.428906
BirthDeath_random_NDCN__std,0.02632877,0.004063986,0.117988009,0.014302376,0.038324644,0.004697672,247.8007164,3963.564137
BirthDeath_random_NDCN__mean,0.256,0.028,0.404,0.061,0.269,0.03,322.031,2799.429
BirthDeath_random_NDCN__std,0.026,0.004,0.118,0.014,0.038,0.005,247.801,3963.564
BirthDeath_random_NDCN__mean_std,0.256+0.026,0.028+0.004,0.404+0.118,0.061+0.014,0.269+0.038,0.03+0.005,322.031+247.801,2799.429+3963.564
,,,,,,,,
BirthDeath_small_world_NDCN_D0.txt,0.225561,0.038303,0.375949,0.24888,0.211745,0.044626,627.408264,465704352
BirthDeath_small_world_NDCN_D1.txt,0.209189,0.03463,0.323393,0.191882,0.206203,0.036754,630.090027,246566112
BirthDeath_small_world_NDCN_D2.txt,0.179794,0.031633,0.260852,0.180208,0.16032,0.028166,416.281097,549090240
BirthDeath_small_world_NDCN_D3.txt,0.200082,0.035075,0.212502,0.139904,0.1687,0.032728,189.060928,196703152
BirthDeath_small_world_NDCN_D4.txt,0.233761,0.039512,0.353832,0.218128,0.241359,0.043342,669.362732,292711776
BirthDeath_small_world_NDCN_D5.txt,0.197722,0.037432,0.210643,0.133178,0.189984,0.034564,263.035614,172216576
BirthDeath_small_world_NDCN_D6.txt,0.204853,0.039248,0.325265,0.196814,0.189985,0.038839,528.974792,536709824
BirthDeath_small_world_NDCN_D7.txt,0.198098,0.030646,0.322393,0.199067,0.18535,0.038401,863.166687,585815360
BirthDeath_small_world_NDCN_D8.txt,0.172818,0.032478,0.28573,0.179249,0.21853,0.038527,165.075577,105042072
BirthDeath_small_world_NDCN_D9.txt,0.174992,0.038546,0.181146,0.110335,0.211536,0.036887,617.719055,455099648
BirthDeath_small_world_NDCN__mean,0.199687,0.0357503,0.2851705,0.1797645,0.1983712,0.0372834,497.0174773,360565911.2
BirthDeath_small_world_NDCN__std,0.019187331,0.003145945,0.062973835,0.039546044,0.023035483,0.004555733,219.1704517,168081878.9
BirthDeath_small_world_NDCN__mean,0.2,0.036,0.285,0.18,0.198,0.037,497.017,360565911.2
BirthDeath_small_world_NDCN__std,0.019,0.003,0.063,0.04,0.023,0.005,219.17,168081878.9
BirthDeath_small_world_NDCN__mean_std,0.2+0.019,0.036+0.003,0.285+0.063,0.18+0.04,0.198+0.023,0.037+0.005,497.017+219.17,360565911.2+168081878.881
,,,,,,,,
ndcn_heat_community_D0.txt,0.21484,0.016036,0.297716,0.022221,0.260076,0.019412,22.722197,1.695974
ndcn_heat_community_D1.txt,0.18922,0.015462,0.214904,0.017561,0.208182,0.017011,30.026649,2.453616
ndcn_heat_community_D2.txt,0.161834,0.012436,0.207456,0.015942,0.176097,0.013532,17.406729,1.337585
ndcn_heat_community_D3.txt,0.180628,0.01463,0.171793,0.013915,0.154164,0.012487,52.159428,4.224728
ndcn_heat_community_D4.txt,0.170003,0.014665,0.172145,0.01485,0.155715,0.013433,51.930561,4.479747
ndcn_heat_community_D5.txt,0.159235,0.012192,0.2207,0.016899,0.196742,0.015064,15.853727,1.213889
ndcn_heat_community_D6.txt,0.194192,0.015867,0.186727,0.015257,0.188641,0.015414,39.908871,3.260949
ndcn_heat_community_D7.txt,0.146825,0.012339,0.183248,0.0154,0.158572,0.013326,27.809765,2.337113
ndcn_heat_community_D8.txt,0.147782,0.011833,0.250971,0.020096,0.17299,0.013852,44.303963,3.547554
ndcn_heat_community_D9.txt,0.195719,0.014753,0.189485,0.014283,0.166154,0.012524,28.988302,2.18503
ndcn_heat_community__mean,0.1760278,0.0140213,0.2095145,0.0166424,0.1837333,0.0146055,33.1110192,2.6736185
ndcn_heat_community__std,0.021423476,0.001560122,0.037531742,0.002532379,0.030650419,0.002080997,12.63126967,1.097665773
ndcn_heat_community__mean,0.176,0.014,0.21,0.017,0.184,0.015,33.111,2.674
ndcn_heat_community__std,0.021,0.002,0.038,0.003,0.031,0.002,12.631,1.098
ndcn_heat_community__mean_std,0.176+0.021,0.014+0.002,0.21+0.038,0.017+0.003,0.184+0.031,0.015+0.002,33.111+12.631,2.674+1.098
,,,,,,,,
ndcn_heat_grid_D0.txt,0.198552,0.016189,0.200141,0.016319,0.194089,0.015826,49.135227,4.006374
